iter	Logloss
0	0.6929068177
1	0.6927060519
2	0.6924029265
3	0.6921893114
4	0.6919713425
5	0.6917800741
6	0.6916117942
7	0.6913831363
8	0.6912298113
9	0.6910139774
10	0.6908508283
11	0.6907065357
12	0.6905668665
13	0.6904008628
14	0.6903562182
15	0.6901588086
16	0.6899397814
17	0.6898315056
18	0.6896338648
19	0.6895253743
20	0.6893774702
21	0.6892277312
22	0.6890617099
23	0.6889641864
24	0.6888999457
25	0.6887977082
26	0.6886714239
27	0.6885595187
28	0.6884507272
29	0.6883763014
30	0.6881963534
31	0.6881005474
32	0.6879884332
33	0.6879376675
34	0.687839425
35	0.6877460492
36	0.6876350781
37	0.6875713842
38	0.6874163335
39	0.687315882
40	0.6872253699
41	0.6870207519
42	0.6869322265
43	0.6868382869
44	0.6868039836
45	0.6867101814
46	0.6865824134
47	0.6864391085
48	0.6863964255
49	0.6863787236
50	0.6863368369
51	0.6862447106
52	0.6862099843
53	0.6861515229
54	0.6860009198
55	0.6859544319
56	0.6858284027
57	0.6857034288
58	0.6856586943
59	0.6855570176
60	0.6854370639
61	0.685245973
62	0.6852070737
63	0.6850839514
64	0.6849879195
65	0.6849105481
66	0.6847766455
67	0.6847203119
68	0.6846624734
69	0.6845971763
70	0.6844991084
71	0.6844688411
72	0.6843887332
73	0.684251885
74	0.684097601
75	0.68404259
76	0.683938014
77	0.6838815952
78	0.6837841061
79	0.6836645099
80	0.6835944892
81	0.6834496093
82	0.6833235517
83	0.683198329
84	0.6831156469
85	0.6830163965
86	0.6828416087
87	0.6827357737
88	0.6826694864
89	0.6825613449
90	0.6824772437
91	0.6824441135
92	0.6823399363
93	0.6823139469
94	0.6822419098
95	0.6821893675
96	0.6820511037
97	0.6818416848
98	0.6817461946
99	0.6816448588
100	0.6815695318
101	0.6814934263
102	0.6813897293
103	0.6813516036
104	0.6812364555
105	0.6811752068
106	0.6811505643
107	0.6810713175
108	0.6810317539
109	0.6808956084
110	0.6808826359
111	0.6807725696
112	0.6806516541
113	0.6805758202
114	0.6805067736
115	0.6803925646
116	0.68027613
117	0.6802277606
118	0.6801244839
119	0.6800829813
120	0.6800195161
121	0.6799795281
122	0.6799139378
123	0.6798604544
124	0.679760393
125	0.6797239526
126	0.6796634811
127	0.6796196907
128	0.679526463
129	0.6794039206
130	0.6793175344
131	0.6792813907
132	0.6792492008
133	0.6791697862
134	0.6790679897
135	0.678985135
136	0.6789403517
137	0.6787915238
138	0.6787195478
139	0.6786541307
140	0.678611891
141	0.6785948787
142	0.6785244504
143	0.6784720768
144	0.6783926134
145	0.6783461326
146	0.6782815423
147	0.6782506658
148	0.6781605881
149	0.6781162933
150	0.678041311
151	0.6779835439
152	0.6779505475
153	0.6778928551
154	0.6778223433
155	0.6777383888
156	0.6776338913
157	0.6775259735
158	0.6774629749
159	0.6773919224
160	0.6773258451
161	0.6772801461
162	0.6772087269
163	0.6771384578
164	0.6770969063
165	0.6770442892
