iter	Passed	Remaining
0	8	8722
1	16	8423
2	23	7960
3	30	7626
4	36	7350
5	43	7287
6	50	7157
7	57	7071
8	63	7036
9	70	6994
10	78	7047
11	85	7074
12	92	7021
13	99	6978
14	105	6908
15	111	6855
16	117	6815
17	124	6793
18	130	6757
19	137	6721
20	143	6694
21	150	6668
22	156	6642
23	162	6624
24	169	6614
25	175	6583
26	182	6567
27	188	6542
28	194	6520
29	201	6508
30	207	6490
31	214	6478
32	221	6503
33	228	6497
34	234	6454
35	240	6427
36	246	6412
37	253	6408
38	259	6401
39	266	6401
40	273	6394
41	280	6404
42	287	6399
43	294	6398
44	301	6394
45	307	6387
46	314	6377
47	321	6375
48	327	6346
49	332	6321
50	338	6305
51	344	6284
52	350	6258
53	356	6239
54	362	6223
55	368	6219
56	376	6225
57	382	6211
58	388	6188
59	394	6175
60	400	6163
61	406	6144
62	411	6123
63	417	6111
64	423	6095
65	429	6081
66	435	6066
67	441	6052
68	447	6040
69	453	6021
70	458	5996
71	464	5985
72	470	5972
73	476	5962
74	482	5947
75	488	5934
76	493	5917
77	499	5906
78	506	5899
79	512	5897
80	519	5895
81	526	5889
82	531	5877
83	537	5865
84	543	5855
85	550	5847
86	556	5836
87	561	5821
88	568	5817
89	574	5810
90	580	5801
91	586	5792
92	592	5780
93	598	5770
94	604	5759
95	610	5747
96	615	5734
97	622	5725
98	628	5719
99	634	5712
100	640	5701
101	646	5691
102	652	5680
103	659	5680
104	666	5681
105	672	5671
106	678	5660
107	683	5649
108	689	5639
109	695	5630
110	701	5619
111	708	5613
112	714	5606
113	720	5597
114	726	5590
115	732	5584
116	738	5573
117	744	5566
118	750	5557
119	756	5546
120	762	5536
121	768	5529
122	774	5522
123	780	5511
124	786	5506
125	792	5497
126	800	5499
127	808	5505
128	813	5494
129	819	5486
130	826	5479
131	831	5470
132	838	5464
133	844	5457
134	850	5448
135	856	5438
136	861	5426
137	867	5418
138	874	5413
139	880	5406
140	886	5399
141	892	5390
142	898	5381
143	904	5374
144	909	5363
145	915	5354
146	922	5351
147	929	5350
148	936	5347
149	942	5339
150	948	5333
151	956	5334
152	962	5329
153	968	5321
154	974	5313
155	980	5306
156	987	5300
157	994	5299
158	1001	5299
159	1008	5294
160	1015	5289
161	1021	5284
162	1028	5278
163	1034	5273
164	1040	5264
165	1045	5253
166	1051	5244
167	1057	5238
168	1063	5229
169	1069	5222
170	1075	5216
171	1081	5208
172	1091	5218
173	1099	5220
174	1106	5214
175	1112	5206
176	1117	5198
177	1123	5189
178	1129	5182
179	1135	5173
180	1142	5167
181	1147	5158
182	1153	5150
183	1159	5143
184	1165	5135
185	1171	5127
186	1177	5120
187	1183	5112
188	1189	5103
189	1195	5094
190	1201	5089
191	1207	5082
192	1214	5076
193	1220	5069
194	1225	5060
195	1232	5054
196	1238	5048
197	1246	5048
198	1252	5041
199	1258	5034
200	1264	5024
201	1269	5016
202	1275	5009
203	1281	5002
204	1288	4996
205	1295	4991
206	1301	4986
207	1307	4979
208	1313	4971
209	1319	4963
210	1324	4953
211	1330	4946
212	1336	4939
213	1342	4931
214	1348	4923
215	1354	4915
216	1360	4907
217	1365	4898
218	1371	4891
219	1379	4889
220	1387	4892
221	1394	4886
222	1401	4882
223	1407	4877
224	1413	4870
225	1420	4863
226	1426	4858
227	1433	4852
228	1440	4848
229	1446	4842
230	1453	4837
231	1459	4830
232	1465	4823
233	1471	4818
234	1477	4810
235	1483	4803
236	1489	4796
237	1496	4790
238	1502	4784
239	1508	4776
240	1515	4771
241	1521	4765
242	1527	4758
243	1534	4753
244	1541	4748
245	1547	4742
246	1553	4734
247	1558	4727
248	1564	4719
249	1570	4711
250	1576	4704
251	1582	4696
252	1587	4687
253	1593	4680
254	1599	4672
255	1604	4663
256	1610	4655
257	1616	4648
258	1623	4643
259	1628	4636
260	1634	4628
261	1640	4621
262	1646	4613
263	1652	4607
264	1658	4599
265	1664	4592
266	1671	4588
267	1678	4584
268	1684	4578
269	1690	4571
270	1696	4564
271	1702	4556
272	1707	4547
273	1713	4539
274	1719	4533
275	1725	4525
276	1730	4517
277	1736	4509
278	1742	4502
279	1748	4496
280	1753	4487
281	1759	4480
282	1766	4475
283	1773	4470
284	1779	4465
285	1786	4460
286	1793	4455
287	1800	4450
288	1806	4445
289	1813	4440
290	1820	4435
291	1827	4430
292	1834	4427
293	1841	4421
294	1847	4414
295	1853	4407
296	1858	4399
297	1864	4391
298	1869	4383
299	1875	4377
300	1882	4370
301	1888	4364
302	1894	4357
303	1900	4351
304	1906	4345
305	1913	4339
306	1919	4332
307	1925	4326
308	1931	4320
309	1937	4313
310	1943	4306
311	1950	4300
312	1956	4293
313	1963	4290
314	1971	4286
315	1977	4280
316	1982	4272
317	1988	4264
318	1994	4257
319	1999	4248
320	2005	4241
321	2011	4234
322	2016	4227
323	2022	4219
324	2028	4212
325	2033	4203
326	2039	4197
327	2045	4190
328	2051	4184
329	2057	4176
330	2062	4168
331	2068	4161
332	2074	4154
333	2081	4149
334	2087	4143
335	2093	4137
336	2100	4133
337	2108	4128
338	2114	4122
339	2120	4116
340	2126	4110
341	2133	4105
342	2141	4101
343	2147	4095
344	2154	4089
345	2160	4084
346	2167	4078
347	2173	4072
348	2180	4066
349	2186	4059
350	2191	4052
351	2197	4045
352	2203	4039
353	2210	4033
354	2217	4028
355	2223	4022
356	2229	4015
357	2236	4009
358	2241	4002
359	2248	3996
360	2255	3992
361	2262	3988
362	2269	3982
363	2275	3976
364	2282	3970
365	2287	3962
366	2293	3956
367	2299	3949
368	2306	3943
369	2312	3938
370	2319	3932
371	2326	3927
372	2332	3921
373	2339	3915
374	2346	3911
375	2353	3905
376	2359	3899
377	2366	3893
378	2372	3887
379	2379	3881
380	2384	3874
381	2390	3867
382	2396	3860
383	2402	3854
384	2410	3850
385	2416	3844
386	2422	3836
387	2428	3830
388	2435	3825
389	2441	3818
390	2446	3811
391	2452	3804
392	2458	3796
393	2463	3789
394	2469	3782
395	2476	3776
396	2481	3769
397	2487	3762
398	2492	3754
399	2498	3748
400	2504	3740
401	2510	3734
402	2516	3727
403	2521	3719
404	2527	3712
405	2532	3705
406	2538	3699
407	2546	3695
408	2553	3689
409	2558	3682
410	2564	3675
411	2570	3668
412	2576	3661
413	2582	3655
414	2588	3648
415	2593	3641
416	2599	3633
417	2605	3627
418	2611	3620
419	2617	3614
420	2623	3607
421	2629	3600
422	2635	3594
423	2640	3587
424	2647	3581
425	2653	3574
426	2659	3569
427	2665	3562
428	2671	3555
429	2677	3549
430	2683	3542
431	2688	3535
432	2695	3529
433	2702	3523
434	2708	3517
435	2714	3511
436	2720	3504
437	2725	3497
438	2731	3490
439	2736	3483
440	2742	3476
441	2748	3470
442	2755	3464
443	2761	3457
444	2767	3451
445	2773	3445
446	2780	3439
447	2786	3433
448	2792	3427
449	2799	3421
450	2804	3413
451	2810	3407
452	2816	3400
453	2822	3394
454	2828	3387
455	2833	3380
456	2839	3373
457	2845	3367
458	2853	3363
459	2859	3356
460	2864	3349
461	2871	3343
462	2877	3337
463	2883	3330
464	2889	3325
465	2895	3318
466	2901	3311
467	2907	3304
468	2912	3297
469	2918	3291
470	2924	3284
471	2930	3278
472	2936	3271
473	2942	3265
474	2947	3258
475	2954	3252
476	2960	3246
477	2967	3240
478	2973	3234
479	2980	3228
480	2987	3223
481	2994	3218
482	3000	3211
483	3006	3205
484	3012	3198
485	3031	3206
486	3037	3199
487	3043	3193
488	3049	3186
489	3055	3180
490	3061	3173
491	3067	3167
492	3073	3160
493	3079	3154
494	3085	3147
495	3091	3141
496	3097	3134
497	3102	3127
498	3109	3121
499	3114	3114
500	3120	3108
501	3127	3102
502	3134	3097
503	3140	3090
504	3145	3083
505	3151	3076
506	3157	3070
507	3163	3064
508	3169	3057
509	3175	3051
510	3181	3044
511	3186	3037
512	3192	3030
513	3198	3024
514	3204	3017
515	3210	3011
516	3216	3004
517	3221	2998
518	3227	2991
519	3233	2984
520	3239	2978
521	3245	2971
522	3251	2965
523	3256	2958
524	3262	2951
525	3268	2945
526	3274	2939
527	3282	2934
528	3288	2927
529	3294	2921
530	3300	2914
531	3306	2908
532	3311	2901
533	3317	2895
534	3323	2888
535	3328	2881
536	3334	2875
537	3340	2868
538	3346	2862
539	3352	2856
540	3358	2849
541	3364	2842
542	3370	2836
543	3375	2829
544	3399	2838
545	3405	2831
546	3411	2824
547	3419	2820
548	3426	2814
549	3431	2807
550	3437	2801
551	3443	2794
552	3448	2787
553	3453	2780
554	3459	2774
555	3466	2767
556	3471	2761
557	3478	2754
558	3484	2748
559	3489	2741
560	3495	2735
561	3501	2728
562	3506	2722
563	3512	2715
564	3518	2709
565	3524	2702
566	3530	2696
567	3536	2689
568	3542	2683
569	3548	2676
570	3553	2669
571	3559	2663
572	3566	2657
573	3572	2651
574	3580	2646
575	3586	2639
576	3591	2633
577	3597	2626
578	3603	2620
579	3608	2613
580	3614	2606
581	3620	2600
582	3626	2593
583	3631	2586
584	3636	2580
585	3642	2573
586	3648	2567
587	3654	2560
588	3661	2554
589	3667	2548
590	3673	2542
591	3679	2535
592	3684	2528
593	3690	2522
594	3696	2515
595	3702	2509
596	3708	2503
597	3713	2496
598	3719	2490
599	3727	2484
600	3733	2478
601	3740	2472
602	3746	2466
603	3752	2460
604	3758	2453
605	3764	2447
606	3770	2441
607	3776	2435
608	3783	2428
609	3789	2422
610	3795	2416
611	3801	2410
612	3807	2403
613	3812	2396
614	3818	2390
615	3824	2384
616	3830	2377
617	3836	2371
618	3842	2365
619	3848	2358
620	3853	2352
621	3860	2345
622	3866	2339
623	3872	2333
624	3878	2327
625	3885	2321
626	3891	2315
627	3897	2308
628	3902	2301
629	3908	2295
630	3914	2288
631	3920	2282
632	3925	2276
633	3931	2269
634	3936	2262
635	3942	2256
636	3948	2249
637	3954	2243
638	3959	2236
639	3965	2230
640	3971	2224
641	3977	2218
642	3983	2211
643	3989	2205
644	3995	2198
645	4000	2192
646	4006	2185
647	4011	2179
648	4017	2172
649	4023	2166
650	4030	2160
651	4037	2154
652	4043	2148
653	4048	2142
654	4054	2135
655	4060	2129
656	4066	2122
657	4072	2116
658	4077	2110
659	4083	2103
660	4089	2097
661	4094	2090
662	4100	2084
663	4105	2077
664	4111	2071
665	4117	2064
666	4122	2058
667	4128	2051
668	4134	2045
669	4140	2039
670	4146	2032
671	4152	2026
672	4159	2020
673	4165	2014
674	4171	2008
675	4178	2002
676	4186	1997
677	4192	1991
678	4198	1984
679	4204	1978
680	4210	1972
681	4216	1966
682	4223	1960
683	4228	1953
684	4234	1947
685	4240	1941
686	4246	1934
687	4253	1928
688	4258	1922
689	4265	1916
690	4271	1910
691	4278	1904
692	4284	1898
693	4290	1891
694	4297	1885
695	4303	1879
696	4309	1873
697	4316	1867
698	4322	1861
699	4329	1855
700	4336	1849
701	4342	1843
702	4349	1837
703	4355	1831
704	4361	1825
705	4368	1819
706	4375	1813
707	4382	1807
708	4388	1801
709	4395	1795
710	4401	1789
711	4408	1783
712	4414	1777
713	4421	1770
714	4427	1764
715	4434	1758
716	4441	1752
717	4447	1746
718	4453	1740
719	4459	1734
720	4465	1728
721	4471	1721
722	4478	1715
723	4484	1709
724	4491	1703
725	4497	1697
726	4502	1690
727	4507	1684
728	4514	1678
729	4520	1671
730	4525	1665
731	4531	1659
732	4537	1652
733	4543	1646
734	4548	1640
735	4554	1633
736	4560	1627
737	4565	1620
738	4571	1614
739	4577	1608
740	4582	1601
741	4588	1595
742	4594	1589
743	4600	1582
744	4605	1576
745	4611	1570
746	4616	1563
747	4622	1557
748	4628	1551
749	4635	1545
750	4643	1539
751	4649	1533
752	4655	1527
753	4661	1520
754	4667	1514
755	4672	1508
756	4678	1501
757	4684	1495
758	4690	1489
759	4696	1483
760	4702	1476
761	4707	1470
762	4713	1464
763	4719	1457
764	4726	1452
765	4733	1446
766	4740	1440
767	4746	1433
768	4753	1427
769	4760	1421
770	4766	1415
771	4773	1409
772	4780	1403
773	4787	1397
774	4794	1391
775	4801	1386
776	4807	1379
777	4813	1373
778	4820	1367
779	4826	1361
780	4831	1354
781	4837	1348
782	4844	1342
783	4850	1336
784	4856	1330
785	4862	1323
786	4868	1317
787	4874	1311
788	4880	1305
789	4885	1298
790	4891	1292
791	4897	1286
792	4902	1279
793	4908	1273
794	4914	1267
795	4919	1260
796	4925	1254
797	4930	1248
798	4936	1241
799	4943	1235
800	4950	1229
801	4956	1223
802	4962	1217
803	4967	1211
804	4973	1204
805	4978	1198
806	4984	1192
807	4990	1185
808	4996	1179
809	5002	1173
810	5008	1167
811	5013	1160
812	5018	1154
813	5024	1148
814	5030	1141
815	5036	1135
816	5042	1129
817	5048	1123
818	5053	1116
819	5059	1110
820	5065	1104
821	5071	1098
822	5077	1091
823	5083	1085
824	5089	1079
825	5096	1073
826	5104	1067
827	5111	1061
828	5117	1055
829	5124	1049
830	5130	1043
831	5136	1037
832	5142	1031
833	5148	1024
834	5155	1018
835	5161	1012
836	5167	1006
837	5174	1000
838	5180	994
839	5186	987
840	5192	981
841	5197	975
842	5203	969
843	5209	962
844	5215	956
845	5221	950
846	5228	944
847	5234	938
848	5239	931
849	5245	925
850	5250	919
851	5256	913
852	5263	907
853	5271	901
854	5277	894
855	5283	888
856	5290	882
857	5295	876
858	5301	870
859	5307	864
860	5313	857
861	5318	851
862	5324	845
863	5330	839
864	5335	832
865	5341	826
866	5347	820
867	5352	813
868	5358	807
869	5365	801
870	5371	795
871	5376	789
872	5382	783
873	5388	776
874	5393	770
875	5399	764
876	5404	758
877	5410	751
878	5417	745
879	5424	739
880	5429	733
881	5435	727
882	5440	720
883	5446	714
884	5451	708
885	5457	702
886	5463	695
887	5468	689
888	5474	683
889	5479	677
890	5485	671
891	5491	664
892	5497	658
893	5502	652
894	5508	646
895	5514	640
896	5519	633
897	5525	627
898	5531	621
899	5536	615
900	5542	608
901	5547	602
902	5553	596
903	5559	590
904	5566	584
905	5573	578
906	5580	572
907	5585	565
908	5591	559
909	5597	553
910	5602	547
911	5608	541
912	5613	534
913	5619	528
914	5626	522
915	5631	516
916	5636	510
917	5643	504
918	5648	497
919	5654	491
920	5660	485
921	5666	479
922	5671	473
923	5677	467
924	5683	460
925	5689	454
926	5695	448
927	5701	442
928	5706	436
929	5712	429
930	5719	423
931	5726	417
932	5733	411
933	5739	405
934	5745	399
935	5752	393
936	5759	387
937	5765	381
938	5771	374
939	5778	368
940	5785	362
941	5791	356
942	5799	350
943	5805	344
944	5812	338
945	5819	332
946	5825	326
947	5832	319
948	5840	313
949	5846	307
950	5853	301
951	5858	295
952	5865	289
953	5872	283
954	5879	277
955	5884	270
956	5890	264
957	5896	258
958	5903	252
959	5909	246
960	5915	240
961	5922	233
962	5928	227
963	5935	221
964	5942	215
965	5948	209
966	5955	203
967	5961	197
968	5968	190
969	5974	184
970	5980	178
971	5986	172
972	5993	166
973	6000	160
974	6006	154
975	6014	147
976	6021	141
977	6028	135
978	6033	129
979	6040	123
980	6046	117
981	6052	110
982	6059	104
983	6065	98
984	6071	92
985	6077	86
986	6084	80
987	6091	73
988	6097	67
989	6104	61
990	6110	55
991	6116	49
992	6122	43
993	6127	36
994	6133	30
995	6139	24
996	6145	18
997	6150	12
998	6156	6
999	6162	0
